BT1:1
C1:1
C2:1
C4:1
DS1:1
DS2:1
G***:2
J1:1
J2:1
J4:1
J5:1
R1:1
R2:1
REF**:4
SW1:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
U1:1
U2:1
U3:1
U4:1
U6:1
U7:1
